,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
21,Let's Get Lost,ChetBaker,0.84,0.108,0.000807,0.37,0.521,0.55
6,I'll Look Around,BillieHoliday,0.98,0.103,5.74e-05,0.0865,0.438,0.315
14,That Old Feeling,ChetBaker,0.633,0.143,4.24e-05,0.175,0.643,0.642
22,Time After Time,MargaretWhiting,0.928,0.239,0.000623,0.173,0.236,0.279
32,Softly As In A Morning Sunrise,TheModernJazzQuartet,0.709,0.158,0.0131,0.327,0.634,0.498
27,Over The Rainbow,JudyGarland,0.972,0.121,8.99e-05,0.161,0.204,0.316
13,But Not For Me - Vocal Version,ChetBaker,0.934,0.12,6.05e-05,0.152,0.626,0.545
5,Blue And Sentimental,OscarPeterson,0.977,0.141,0.874,0.114,0.551,0.124
15,(We're Gonna) Rock Around The Clock,BillHaleyHisComets,0.205,0.0761,3.73e-06,0.859,0.811,0.784
35,Autumn Leaves - Remastered,NatKingCole,0.939,0.384,0.00052,0.348,0.211,0.0981
0,Tại Vì Sao,RPT MCK,0.0347,0.101,0.0,0.682,0.76,0.552
